,DATE,STAR,REVIEW
88,2020년 12월 13일,별표 5개 만점에 5개를 받았습니다.,사용하는대는 그러치 안네요...평가하는대 있어서 네가 평가하기엔 무었하네요..
89,2020년 10월 31일,별표 5개 만점에 1개를 받았습니다.,다시는 헬지쓰나봐라 ㅋㅋ 뭐 하나 고객입장에서 만드는게 없네 아무나 데려다 놓고 일시키는거임?
90,2021년 2월 8일,별표 5개 만점에 1개를 받았습니다.,어플 오류 수정 좀 하시죠
91,2020년 10월 1일,별표 5개 만점에 1개를 받았습니다.,멤버십 카드를 가져올수없다고 오류뜨는데 할인 안해줄라면 하질말던가 이건 뭐여
92,2020년 9월 26일,별표 5개 만점에 1개를 받았습니다.,아니 먼 등록된 핸드폰으로만 소액결제가가능하다고 오늘아침부터 헛짓거리를 하네ㅋㅋㅋㅋㅋ
93,2021년 1월 27일,별표 5개 만점에 1개를 받았습니다.,ㅋㅋㅆ ㅣ발데이터도졷같이 느리네 번호이동으로엘지버려야지
94,2020년 12월 17일,별표 5개 만점에 5개를 받았습니다.,편하고좋은데 도데체GS편의점소액결제는 할인을어떻게받는단겁니까? 할인no되어있는데도 할인이안되는데!
95,2020년 12월 9일,별표 5개 만점에 3개를 받았습니다.,나이먹은.사람들은.사용하기가.좀.어렵네요
96,2020년 9월 25일,별표 5개 만점에 1개를 받았습니다.,"업데이트 했는데,일시적으로 사용이 불가능하다니..."
97,2020년 10월 2일,별표 5개 만점에 1개를 받았습니다.,편의점 소액결제하는데 무슨온라인결제 만되고 등급은무슨 누굴그지로아나
98,2020년 12월 22일,별표 5개 만점에 1개를 받았습니다.,갈수록.개판으로 가고잇음.더.글올려봐야.똑같은 답변.앵무새.아니면.구관조.
99,2020년 9월 25일,별표 5개 만점에 1개를 받았습니다.,업데이트하고 실행이안됨 대략난감
100,2021년 1월 20일,별표 5개 만점에 1개를 받았습니다.,뭐 바뀌는것도 별로 없는데 포인트 쓰려고 하면 맨날 업데이트 하라고 해서 짜증나요
101,2021년 3월 1일,별표 5개 만점에 1개를 받았습니다.,메가박스는 왜 없애나요 안그래도 별로 없는 혜택 영화 하나 쓰고 있었는데 그것 마저 못쓰고 있네요
102,2020년 10월 4일,별표 5개 만점에 1개를 받았습니다.,업데이트를 어지간히하던가 업데이트안해도 포인트쓸수있게하던가 툭하면업데이트하라고 난리
103,2020년 12월 26일,별표 5개 만점에 5개를 받았습니다.,편리하고 유익해요
104,2021년 2월 19일,별표 5개 만점에 1개를 받았습니다.,LG계열사에서 일해서 어거지로 6년째 쓰고 있지만... 공장 내에 다른 통신사 터지면 바로 갈아타고싶다...
105,2020년 10월 29일,별표 5개 만점에 3개를 받았습니다.,유용하고 필요한 앱인데 나이들어서 들이대는것은 쫌 그런듯 싶네요 ^^*
106,2020년 9월 25일,별표 5개 만점에 1개를 받았습니다.,업데이트하라고 해서 했더니 앱이 실행이 안되네요.
107,2020년 12월 15일,별표 5개 만점에 1개를 받았습니다.,스벅 빕스 이런데혜택있어서가입했었는데 lg만 나날이 혜택이줄어요.skt랑 kt는협력사랑 사이좋아서 이용고객혜택주는것도아니고 고객관리에 돈을써서 할인해주는거아닌가요? 엘지도 폰팔이에만돈주고하지말고 이용자에게 편의를 더 제공해주세요.
